Settimana,Premio,Traguardo
1,Urban public transport monthly personal pass,first place in weekly green leaves leaderboard
1,Guided tour in Ferrara,first draw in the Top 50 of green leaves weekly leaderboard
1,Landscape Metropolis bag in recycled cotton,second draw in the Top 50 of green leaves weekly leaderboard
2,SPAL third shirt,first place in weekly green leaves leaderboard
2,Landscape Metropolis bag + canteen,first draw in the Top 50 of green leaves weekly leaderboard
2,2 reduced cinema tickets + 4 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
3,SPAL third shirt,first place in weekly green leaves leaderboard
3,SPAL third shirt,first draw in the Top 50 of green leaves weekly leaderboard
3,Landscape Metropolis bag + 2 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
4,SPAL third shirt,first place in weekly green leaves leaderboard
4,Landscape Metropolis bag + canteen,first draw in the Top 50 of green leaves weekly leaderboard
4,2 reduced cinema tickets + 4 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
5,SPAL third shirt,first place in weekly green leaves leaderboard
5,SPAL third shirt,first draw in the Top 50 of green leaves weekly leaderboard
5,Landscape Metropolis bag + 2 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
6,SPAL third shirt,first place in weekly green leaves leaderboard
6,Landscape Metropolis bag + canteen,first draw in the Top 50 of green leaves weekly leaderboard
6,2 reduced cinema tickets + 4 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
7,Cloister Art Gallery annual card SUPPORTING,first place in weekly green leaves leaderboard
7,SPAL third shirt,first draw in the Top 50 of green leaves weekly leaderboard
7,Landscape Metropolis bag + 2 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
8,SPAL third shirt,first place in weekly green leaves leaderboard
8,Guided tour in Ferrara + 2 slices of pizza,first draw in the Top 50 of green leaves weekly leaderboard
8,2 reduced cinema tickets + 4 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
9,SPAL third shirt,first place in weekly green leaves leaderboard
9,Landscape Metropolis bag + canteen,first draw in the Top 50 of green leaves weekly leaderboard
9,2 reduced cinema tickets + 4 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
10,Cloister Art Gallery annual card SUPPORTING,first place in weekly green leaves leaderboard
10,SPAL third shirt,first draw in the Top 50 of green leaves weekly leaderboard
10,Landscape Metropolis bag + 2 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
11,Reconditioned Bicycle,first place in weekly green leaves leaderboard
11,Reconditioned Bicycle,first draw in the Top 50 of green leaves weekly leaderboard
11,Landscape Metropolis bag + canteen,second draw in the Top 50 of green leaves weekly leaderboard
12,Reconditioned Bicycle,first place in weekly green leaves leaderboard
12,Reconditioned Bicycle,first draw in the Top 50 of green leaves weekly leaderboard
12,Landscape Metropolis bag + canteen,second draw in the Top 50 of green leaves weekly leaderboard
13,SPAL third shirt,first place in weekly green leaves leaderboard
13,Guided tour in Ferrara + 2 slices of pizza,first draw in the Top 50 of green leaves weekly leaderboard
13,Landscape Metropolis bag + canteen,second draw in the Top 50 of green leaves weekly leaderboard
14,SPAL third shirt,first place in weekly green leaves leaderboard
14,Cloister Art Gallery annual card SUPPORTING,first draw in the Top 50 of green leaves weekly leaderboard
14,Landscape Metropolis bag + 2 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
15,Urban public transport monthly personal pass,first place in weekly green leaves leaderboard
15,Guided tour in Ferrara + 2 slices of pizza,first draw in the Top 50 of green leaves weekly leaderboard
15,Landscape Metropolis bag + 2 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
16,SPAL third shirt,first place in weekly green leaves leaderboard
16,Landscape Metropolis bag + canteen,first draw in the Top 50 of green leaves weekly leaderboard
16,2 reduced cinema tickets + 4 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
17,SPAL third shirt,first place in weekly green leaves leaderboard
17,Guided tour in Ferrara + 2 slices of pizza,first draw in the Top 50 of green leaves weekly leaderboard
17,Landscape Metropolis bag + 2 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
18,SPAL third shirt,first place in weekly green leaves leaderboard
18,Landscape Metropolis bag + canteen,first draw in the Top 50 of green leaves weekly leaderboard
18,2 reduced cinema tickets + 4 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
19,SPAL third shirt,first place in weekly green leaves leaderboard
19,Cloister Art Gallery annual card SUPPORTING,first draw in the Top 50 of green leaves weekly leaderboard
19,Landscape Metropolis bag + 2 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
20,SPAL third shirt,first place in weekly green leaves leaderboard
20,Landscape Metropolis bag + canteen,first draw in the Top 50 of green leaves weekly leaderboard
20,2 reduced cinema tickets + 4 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
21,SPAL third shirt,first place in weekly green leaves leaderboard
21,Cloister Art Gallery annual card SUPPORTING,first draw in the Top 50 of green leaves weekly leaderboard
21,Landscape Metropolis bag + 2 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
22,Urban public transport monthly personal pass,first place in weekly green leaves leaderboard
22,Cloister Art Gallery annual card SUPPORTING,first draw in the Top 50 of green leaves weekly leaderboard
22,2 reduced cinema tickets + 4 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
23,SPAL third shirt,first place in weekly green leaves leaderboard
23,Cloister Art Gallery annual card SUPPORTING,first draw in the Top 50 of green leaves weekly leaderboard
23,2 reduced cinema tickets + 4 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
24,SPAL third shirt,first place in weekly green leaves leaderboard
24,Cloister Art Gallery annual card SUPPORTING,first draw in the Top 50 of green leaves weekly leaderboard
24,2 reduced cinema tickets + 4 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
25,Urban public transport monthly personal pass,first place in weekly green leaves leaderboard
25,Cloister Art Gallery annual card SUPPORTING,first draw in the Top 50 of green leaves weekly leaderboard
25,2 reduced cinema tickets + 4 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
26,SPAL third shirt,first place in weekly green leaves leaderboard
26,Cloister Art Gallery annual card SUPPORTING,first draw in the Top 50 of green leaves weekly leaderboard
26,2 reduced cinema tickets + 4 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
27,SPAL third shirt,first place in weekly green leaves leaderboard
27,Cloister Art Gallery annual card SUPPORTING,first draw in the Top 50 of green leaves weekly leaderboard
27,2 reduced cinema tickets + 4 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
28,SPAL third shirt,first place in weekly green leaves leaderboard
28,Cloister Art Gallery annual card SUPPORTING,first draw in the Top 50 of green leaves weekly leaderboard
28,2 reduced cinema tickets + 4 pizza slices,second draw in the Top 50 of green leaves weekly leaderboard
