Settimana,Premio,Traguardo
1,Abbonamento personale mensile urbano Trasporti Pubblici,primo posto classifica settimanale green leaves
1,Visita guidata a Ferrara,primo estratto nella Top 50 settimanale della classifica green leaves
1,Sacca Landscape Metropolis in cotone riciclato,secondo estratto nella Top 50 settimanale della classifica green leaves
2,Terza maglia SPAL,primo posto classifica settimanale green leaves
2,Sacca + Borraccia Landscape Metropolis,primo estratto nella Top 50 settimanale della classifica green leaves
2,2 Biglietti ridotti cinema + 4 Tranci Pizza,secondo estratto nella Top 50 settimanale della classifica green leaves
3,Terza maglia SPAL,primo posto classifica settimanale green leaves
3,Terza maglia SPAL,primo estratto nella Top 50 settimanale della classifica green leaves
3,Sacca Landscape Metropolis + 2 tranci pizza,secondo estratto nella Top 50 settimanale della classifica green leaves
4,Terza maglia SPAL,primo posto classifica settimanale green leaves
4,Sacca + Borraccia Landscape Metropolis,primo estratto nella Top 50 settimanale della classifica green leaves
4,2 Biglietti ridotti cinema + 4 Tranci Pizza,secondo estratto nella Top 50 settimanale della classifica green leaves
5,Terza maglia SPAL,primo posto classifica settimanale green leaves
5,Terza maglia SPAL,primo estratto nella Top 50 settimanale della classifica green leaves
5,Sacca Landscape Metropolis + 2 tranci pizza,secondo estratto nella Top 50 settimanale della classifica green leaves
6,Terza maglia SPAL,primo posto classifica settimanale green leaves
6,Sacca + Borraccia Landscape Metropolis,primo estratto nella Top 50 settimanale della classifica green leaves
6,2 Biglietti ridotti cinema + 4 Tranci Pizza,secondo estratto nella Top 50 settimanale della classifica green leaves
7,Tessera annuale SUPPORTING Galleria d'Arte Cloister,primo posto classifica settimanale green leaves
7,Terza maglia SPAL,primo estratto nella Top 50 settimanale della classifica green leaves
7,Sacca Landscape Metropolis + 2 tranci pizza,secondo estratto nella Top 50 settimanale della classifica green leaves
8,Terza maglia SPAL,primo posto classifica settimanale green leaves
8,Visita guidata a Ferrara + 2 tranci pizza,primo estratto nella Top 50 settimanale della classifica green leaves
8,2 Biglietti ridotti cinema + 4 Tranci Pizza,secondo estratto nella Top 50 settimanale della classifica green leaves
9,Terza maglia SPAL,primo posto classifica settimanale green leaves
9,Sacca + Borraccia Landscape Metropolis,primo estratto nella Top 50 settimanale della classifica green leaves
9,2 Biglietti ridotti cinema + 4 Tranci Pizza,secondo estratto nella Top 50 settimanale della classifica green leaves
10,Tessera annuale SUPPORTING Galleria d'Arte Cloister,primo posto classifica settimanale green leaves
10,Terza maglia SPAL,primo estratto nella Top 50 settimanale della classifica green leaves
10,Sacca Landscape Metropolis + 2 tranci pizza,secondo estratto nella Top 50 settimanale della classifica green leaves
11,Bicicletta ricondizionata,primo posto classifica settimanale green leaves
11,Bicicletta ricondizionata,primo estratto nella Top 50 settimanale della classifica green leaves
11,Sacca + Borraccia Landscape Metropolis,secondo estratto nella Top 50 settimanale della classifica green leaves
12,Bicicletta ricondizionata,primo posto classifica settimanale green leaves
12,Bicicletta ricondizionata,primo estratto nella Top 50 settimanale della classifica green leaves
12,Sacca + Borraccia Landscape Metropolis,secondo estratto nella Top 50 settimanale della classifica green leaves
13,Terza maglia SPAL,primo posto classifica settimanale green leaves
13,Visita guidata a Ferrara + 2 tranci pizza,primo estratto nella Top 50 settimanale della classifica green leaves
13,Sacca + Borraccia Landscape Metropolis,secondo estratto nella Top 50 settimanale della classifica green leaves
14,Terza maglia SPAL,primo posto classifica settimanale green leaves
14,Tessera annuale SUPPORTING Galleria d'Arte Cloister,primo estratto nella Top 50 settimanale della classifica green leaves
14,Sacca Landscape Metropolis + 2 tranci pizza,secondo estratto nella Top 50 settimanale della classifica green leaves
15,Abbonamento personale mensile urbano Trasporti Pubblici,primo posto classifica settimanale green leaves
15,Terza maglia SPAL,primo estratto nella Top 50 settimanale della classifica green leaves
15,Sacca Landscape Metropolis + 2 tranci pizza,secondo estratto nella Top 50 settimanale della classifica green leaves
16,Terza maglia SPAL,primo posto classifica settimanale green leaves
16,Sacca + Borraccia Landscape Metropolis,primo estratto nella Top 50 settimanale della classifica green leaves
16,2 Biglietti ridotti cinema + 4 Tranci Pizza,secondo estratto nella Top 50 settimanale della classifica green leaves
17,Terza maglia SPAL,primo posto classifica settimanale green leaves
17,Visita guidata a Ferrara + 2 tranci pizza,primo estratto nella Top 50 settimanale della classifica green leaves
17,Sacca Landscape Metropolis + 2 tranci pizza,secondo estratto nella Top 50 settimanale della classifica green leaves
18,Terza maglia SPAL,primo posto classifica settimanale green leaves
18,Sacca + Borraccia Landscape Metropolis,primo estratto nella Top 50 settimanale della classifica green leaves
18,2 Biglietti ridotti cinema + 4 Tranci Pizza,secondo estratto nella Top 50 settimanale della classifica green leaves
19,Terza maglia SPAL,primo posto classifica settimanale green leaves
